Bandit,Reward,Algorithm
2.0,3.2562700330245615,ThompsonSampling
2.0,4.144895688694593,ThompsonSampling
2.0,4.182022065615242,ThompsonSampling
2.0,3.915947928292237,ThompsonSampling
2.0,1.2485859187757764,ThompsonSampling
2.0,2.9517765576112867,ThompsonSampling
2.0,0.4057969564793229,ThompsonSampling
2.0,1.9171041580177013,ThompsonSampling
2.0,4.435408740361831,ThompsonSampling
2.0,1.9779767248781712,ThompsonSampling
2.0,2.976505079217956,ThompsonSampling
2.0,2.1785525807268966,ThompsonSampling
2.0,4.4162178226465105,ThompsonSampling
2.0,2.597744473874009,ThompsonSampling
2.0,2.994962107416658,ThompsonSampling
2.0,4.317920524737413,ThompsonSampling
2.0,4.1417752024002255,ThompsonSampling
2.0,1.656013316063478,ThompsonSampling
2.0,4.930887626668053,ThompsonSampling
2.0,3.0127897085019897,ThompsonSampling
2.0,1.8062581845672459,ThompsonSampling
2.0,2.411855693079893,ThompsonSampling
2.0,4.220218681334709,ThompsonSampling
2.0,3.5891957091569795,ThompsonSampling
2.0,3.3837197864754085,ThompsonSampling
2.0,3.79458040666576,ThompsonSampling
2.0,1.9156614940615282,ThompsonSampling
2.0,1.392307848841775,ThompsonSampling
2.0,3.236962280974304,ThompsonSampling
2.0,3.4735810911441694,ThompsonSampling
2.0,2.9285962022476975,ThompsonSampling
2.0,2.9689854767837254,ThompsonSampling
2.0,3.800647847120592,ThompsonSampling
2.0,5.6389048772908,ThompsonSampling
2.0,2.469135565442519,ThompsonSampling
2.0,3.801190304838048,ThompsonSampling
2.0,4.279974472777829,ThompsonSampling
2.0,2.4877947846839636,ThompsonSampling
2.0,2.6024518959156118,ThompsonSampling
2.0,4.4720099246308855,ThompsonSampling
2.0,3.4378467468243707,ThompsonSampling
2.0,2.1812135862545423,ThompsonSampling
2.0,2.691598651107607,ThompsonSampling
2.0,2.4379888296821295,ThompsonSampling
2.0,2.316175053532193,ThompsonSampling
2.0,4.272396901537651,ThompsonSampling
2.0,3.694320962454707,ThompsonSampling
2.0,3.1336340247553043,ThompsonSampling
2.0,2.718116283624996,ThompsonSampling
2.0,2.9549182528377047,ThompsonSampling
2.0,2.9281136097014677,ThompsonSampling
2.0,2.923960404244733,ThompsonSampling
2.0,4.354202372014338,ThompsonSampling
2.0,3.6230233943898043,ThompsonSampling
2.0,0.9207757447384513,ThompsonSampling
2.0,2.6377285135498036,ThompsonSampling
2.0,2.3006171739975874,ThompsonSampling
2.0,2.058442484077906,ThompsonSampling
2.0,2.791122600174337,ThompsonSampling
2.0,4.321937736471928,ThompsonSampling
2.0,3.333067205989133,ThompsonSampling
2.0,2.161811242331582,ThompsonSampling
2.0,1.4602390677985844,ThompsonSampling
2.0,3.113427090951324,ThompsonSampling
2.0,2.5484975776407293,ThompsonSampling
2.0,2.80025578408521,ThompsonSampling
2.0,3.0871179171868115,ThompsonSampling
2.0,4.381390025907816,ThompsonSampling
2.0,4.117997844674981,ThompsonSampling
2.0,3.1294082183175487,ThompsonSampling
2.0,4.038172435798544,ThompsonSampling
2.0,2.4400114954137506,ThompsonSampling
2.0,1.9719055507520886,ThompsonSampling
2.0,2.4415669837710574,ThompsonSampling
2.0,3.6219179657034157,ThompsonSampling
2.0,2.9421235806577477,ThompsonSampling
2.0,1.872190606165403,ThompsonSampling
2.0,2.1617587535117853,ThompsonSampling
2.0,1.7681436148341558,ThompsonSampling
2.0,3.872361138378403,ThompsonSampling
2.0,4.124393364552464,ThompsonSampling
2.0,3.417767792884667,ThompsonSampling
2.0,3.5909644266818894,ThompsonSampling
2.0,1.994792484628511,ThompsonSampling
2.0,2.5434653046691893,ThompsonSampling
2.0,3.4199131153350955,ThompsonSampling
2.0,4.025819756194264,ThompsonSampling
2.0,4.2272991155324,ThompsonSampling
2.0,0.15438607529145099,ThompsonSampling
2.0,3.8416950864216473,ThompsonSampling
2.0,2.697281201630431,ThompsonSampling
2.0,4.327491677114695,ThompsonSampling
2.0,4.1538033471059785,ThompsonSampling
2.0,2.363711540475148,ThompsonSampling
2.0,2.705786044029531,ThompsonSampling
2.0,0.5542236039961033,ThompsonSampling
2.0,4.389469966683534,ThompsonSampling
2.0,4.517888881751165,ThompsonSampling
2.0,2.6615769796822137,ThompsonSampling
2.0,4.4304827340006545,ThompsonSampling
2.0,4.0903279610611065,ThompsonSampling
3.0,5.8385077999035975,ThompsonSampling
2.0,4.614189997838929,ThompsonSampling
2.0,3.7418441658768433,ThompsonSampling
3.0,3.218599764944386,ThompsonSampling
2.0,3.885976782903365,ThompsonSampling
3.0,4.796347844422282,ThompsonSampling
3.0,3.046294637890749,ThompsonSampling
3.0,5.154180993807076,ThompsonSampling
3.0,4.390312096515388,ThompsonSampling
3.0,3.964731518522092,ThompsonSampling
3.0,4.0451363647489975,ThompsonSampling
3.0,5.01337289563835,ThompsonSampling
3.0,4.390889709586975,ThompsonSampling
3.0,5.049809460942411,ThompsonSampling
3.0,3.8399395807536143,ThompsonSampling
3.0,5.433548311560262,ThompsonSampling
3.0,2.4649943874303455,ThompsonSampling
3.0,5.373335119070596,ThompsonSampling
3.0,3.8499018695946727,ThompsonSampling
3.0,5.3460135234936885,ThompsonSampling
3.0,3.4821160499857355,ThompsonSampling
3.0,4.195550548754637,ThompsonSampling
3.0,3.8177974631059897,ThompsonSampling
3.0,6.196512923701356,ThompsonSampling
3.0,4.815772037320948,ThompsonSampling
3.0,5.7506853653606225,ThompsonSampling
3.0,4.7780350582389675,ThompsonSampling
3.0,4.674017578895006,ThompsonSampling
3.0,4.718314488610112,ThompsonSampling
3.0,3.1811077285075484,ThompsonSampling
3.0,4.599509713146958,ThompsonSampling
3.0,3.414185740431802,ThompsonSampling
3.0,3.117677796670872,ThompsonSampling
3.0,3.847221034739538,ThompsonSampling
3.0,4.72615387028022,ThompsonSampling
3.0,4.015541927245862,ThompsonSampling
3.0,5.038409772057986,ThompsonSampling
3.0,4.2279900382125675,ThompsonSampling
3.0,3.7836925539654933,ThompsonSampling
3.0,4.107673973490121,ThompsonSampling
3.0,4.629023512889404,ThompsonSampling
3.0,2.4891487925956195,ThompsonSampling
3.0,4.041435562139985,ThompsonSampling
3.0,4.32370829750734,ThompsonSampling
3.0,2.5174255173631437,ThompsonSampling
3.0,4.922280116607382,ThompsonSampling
3.0,4.75470560335904,ThompsonSampling
3.0,4.9749669433025545,ThompsonSampling
3.0,4.336629928899303,ThompsonSampling
3.0,3.9634718912232727,ThompsonSampling
3.0,2.88904851679082,ThompsonSampling
3.0,4.110949855982306,ThompsonSampling
3.0,4.664783281217964,ThompsonSampling
3.0,5.328034599978933,ThompsonSampling
3.0,4.77761584554032,ThompsonSampling
3.0,4.565893370409122,ThompsonSampling
3.0,5.159043042892735,ThompsonSampling
3.0,3.6548185271720843,ThompsonSampling
3.0,4.943922171752093,ThompsonSampling
3.0,3.8108098842118268,ThompsonSampling
3.0,2.649888393667918,ThompsonSampling
3.0,3.8362727955566593,ThompsonSampling
3.0,4.55550605902023,ThompsonSampling
3.0,4.671155644434825,ThompsonSampling
3.0,2.0636396097660885,ThompsonSampling
3.0,2.8603638361468,ThompsonSampling
3.0,3.019269041512304,ThompsonSampling
3.0,3.1087151403549127,ThompsonSampling
3.0,4.296904905638704,ThompsonSampling
3.0,3.0659869051550146,ThompsonSampling
3.0,2.828517649980551,ThompsonSampling
3.0,3.5325383690097794,ThompsonSampling
3.0,6.483064374923167,ThompsonSampling
3.0,4.072029534776124,ThompsonSampling
3.0,4.141222171415592,ThompsonSampling
3.0,4.002511551647711,ThompsonSampling
3.0,5.352842211618177,ThompsonSampling
3.0,1.1872149260882736,ThompsonSampling
3.0,6.031885670296033,ThompsonSampling
3.0,3.5535244294065147,ThompsonSampling
3.0,6.0852112811930805,ThompsonSampling
3.0,4.990914751620236,ThompsonSampling
3.0,2.4384727955756857,ThompsonSampling
3.0,3.0308276422015963,ThompsonSampling
3.0,6.821051182612122,ThompsonSampling
3.0,3.401241403104125,ThompsonSampling
3.0,3.610346468900037,ThompsonSampling
3.0,4.192808320965055,ThompsonSampling
3.0,2.7910667855144036,ThompsonSampling
3.0,3.6129307541382687,ThompsonSampling
3.0,4.060745511947981,ThompsonSampling
3.0,3.802323076448355,ThompsonSampling
3.0,3.986872680689229,ThompsonSampling
3.0,4.15105663865554,ThompsonSampling
3.0,4.704841302011156,ThompsonSampling
3.0,1.9590914007154305,ThompsonSampling
3.0,5.155505455561838,ThompsonSampling
3.0,4.187629289464156,ThompsonSampling
3.0,4.985444149157989,ThompsonSampling
3.0,3.1560429864080963,ThompsonSampling
3.0,1.4236721973522348,ThompsonSampling
3.0,4.183959893233858,ThompsonSampling
3.0,5.172515685584553,ThompsonSampling
3.0,4.823839631251481,ThompsonSampling
3.0,2.8095763576731865,ThompsonSampling
3.0,4.216413547353253,ThompsonSampling
3.0,3.711479384308983,ThompsonSampling
3.0,3.6213083438021463,ThompsonSampling
3.0,5.093693060013454,ThompsonSampling
3.0,3.3571030403124604,ThompsonSampling
3.0,4.214534858911699,ThompsonSampling
3.0,5.118686979820911,ThompsonSampling
3.0,4.060903067110612,ThompsonSampling
3.0,4.032131460150678,ThompsonSampling
3.0,2.3648389521333884,ThompsonSampling
3.0,4.571901750955615,ThompsonSampling
3.0,2.56422392265067,ThompsonSampling
3.0,3.6248794430761158,ThompsonSampling
3.0,4.507805364341496,ThompsonSampling
3.0,4.0207193870649185,ThompsonSampling
3.0,3.67596728859535,ThompsonSampling
3.0,2.0671655802040565,ThompsonSampling
3.0,2.704543383481048,ThompsonSampling
3.0,5.501184389086109,ThompsonSampling
3.0,4.311004911343893,ThompsonSampling
3.0,3.916322771860517,ThompsonSampling
3.0,4.852279971859627,ThompsonSampling
